Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Insert into a Binary Search Tree	Medium	35	25	18	Trees	https://neetcode.io/problems/insert-into-a-binary-search-tree/question?list=allNC
Delete Node in a BST	Medium	40	28	20	Trees	https://neetcode.io/problems/delete-node-in-a-bst/question?list=allNC
Binary Tree Level Order Traversal	Medium	35	25	18	Trees	https://neetcode.io/problems/level-order-traversal-of-binary-tree/question?list=allNC
Binary Tree Right Side View	Medium	45	35	20	Trees	https://neetcode.io/problems/binary-tree-right-side-view/question?list=allNC
Reverse Odd Levels of Binary Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/
Minimum Number of Operations to Sort a Binary Tree by Level	Medium	0	0	0	Trees	https://leetcode.com/problems/minimum-number-of-operations-to-sort-a-binary-tree-by-level/
Kth Largest Sum in a Binary Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/kth-largest-sum-in-a-binary-tree/
Cousins in Binary Tree II	Medium	0	0	0	Trees	https://leetcode.com/problems/cousins-in-binary-tree-ii/
Minimum Distance between BST Nodes	Easy	0	0	0	Trees	https://leetcode.com/problems/minimum-distance-between-bst-nodes/
Symmetric Tree	Easy	0	0	0	Trees	https://leetcode.com/problems/symmetric-tree/
Linked List in Binary Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/linked-list-in-binary-tree/
Minimum Time to Collect All Apples in a Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/minimum-time-to-collect-all-apples-in-a-tree/question?list=allNC
Binary Tree Zigzag Level Order Traversal	Medium	0	0	0	Trees	https://neetcode.io/problems/binary-tree-zigzag-level-order-traversal/question?list=allNC
Construct Quad Tree	Medium	45	32	24	Trees	https://neetcode.io/problems/construct-quad-tree/question?list=allNC
Find Duplicate Subtrees	Medium	0	0	0	Trees	https://leetcode.com/problems/find-duplicate-subtrees/
Check Completeness of a Binary Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/check-completeness-of-a-binary-tree/question?list=allNC
Construct Binary Tree from Inorder and Postorder Traversal	Medium	0	0	0	Trees	https://neetcode.io/problems/construct-binary-tree-from-inorder-and-postorder-traversal/question?list=allNC
Maximum Width of Binary Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/maximum-width-of-binary-tree/
Time Needed to Inform All Employees	Medium	0	0	0	Trees	https://leetcode.com/problems/time-needed-to-inform-all-employees/
Count Good Nodes In Binary Tree	Medium	45	35	20	Trees	https://neetcode.io/problems/count-good-nodes-in-binary-tree/question?list=allNC
Validate Binary Search Tree	Medium	40	28	20	Trees	https://neetcode.io/problems/valid-binary-search-tree/question?list=allNC
Kth Smallest Element In a Bst	Medium	35	25	18	Trees	https://neetcode.io/problems/kth-smallest-integer-in-bst/question?list=allNC
Recover Binary Search Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/recover-binary-search-tree/question?list=allNC
Construct Binary Tree From Preorder And Inorder Traversal	Medium	50	35	25	Trees	https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal/question?list=allNC
