Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Surrounded Regions	Medium	45	35	20	Graphs	https://neetcode.io/problems/surrounded-regions?list=neetcode150
Course Schedule	Medium	45	32	22	Graphs	https://neetcode.io/problems/course-schedule?list=neetcode150
Course Schedule II	Medium	45	35	20	Graphs	https://neetcode.io/problems/course-schedule-ii?list=neetcode150
Graph Valid Tree	Medium	40	28	20	Graphs	https://neetcode.io/problems/valid-tree?list=neetcode150
Number of Connected Components In An Undirected Graph	Medium	35	25	18	Graphs	https://neetcode.io/problems/count-connected-components?list=neetcode150
Redundant Connection	Medium	45	35	20	Graphs	https://neetcode.io/problems/redundant-connection?list=neetcode150
Word Ladder	Hard	60	45	30	Graphs	https://neetcode.io/problems/word-ladder?list=neetcode150
Network Delay Time	Medium	45	35	20	Advanced Graphs	https://neetcode.io/problems/network-delay-time?list=neetcode150
Reconstruct Itinerary	Hard	60	45	30	Advanced Graphs	https://neetcode.io/problems/reconstruct-flight-path?list=neetcode150
Min Cost to Connect All Points	Medium	45	35	20	Advanced Graphs	https://neetcode.io/problems/min-cost-to-connect-points?list=neetcode150
Swim In Rising Water	Hard	60	45	30	Advanced Graphs	https://neetcode.io/problems/swim-in-rising-water?list=neetcode150
Alien Dictionary	Hard	70	50	35	Advanced Graphs	https://neetcode.io/problems/foreign-dictionary?list=neetcode150
Cheapest Flights Within K Stops	Medium	45	35	20	Advanced Graphs	https://neetcode.io/problems/cheapest-flight-path?list=neetcode150
Climbing Stairs	Easy	20	12	8	1-D Dynamic Programming	https://neetcode.io/problems/climbing-stairs?list=neetcode150
Min Cost Climbing Stairs	Easy	30	20	10	1-D Dynamic Programming	https://neetcode.io/problems/min-cost-climbing-stairs?list=neetcode150
House Robber	Medium	30	20	12	1-D Dynamic Programming	https://neetcode.io/problems/house-robber?list=neetcode150
House Robber II	Medium	45	30	20	1-D Dynamic Programming	https://neetcode.io/problems/house-robber-ii?list=neetcode150
Longest Palindromic Substring	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/longest-palindromic-substring?list=neetcode150
Palindromic Substrings	Medium	45	32	22	1-D Dynamic Programming	https://neetcode.io/problems/palindromic-substrings?list=neetcode150
Decode Ways	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/decode-ways?list=neetcode150
Coin Change	Medium	40	28	18	1-D Dynamic Programming	https://neetcode.io/problems/coin-change?list=neetcode150
Maximum Product Subarray	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/maximum-product-subarray?list=neetcode150
Word Break	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/word-break?list=neetcode150
Longest Increasing Subsequence	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/longest-increasing-subsequence?list=neetcode150
Partition Equal Subset Sum	Medium	45	35	20	1-D Dynamic Programming	https://neetcode.io/problems/partition-equal-subset-sum?list=neetcode150
Unique Paths	Medium	35	22	15	2-D Dynamic Programming	https://neetcode.io/problems/count-paths?list=neetcode150
Longest Common Subsequence	Medium	45	30	20	2-D Dynamic Programming	https://neetcode.io/problems/longest-common-subsequence?list=neetcode150
Best Time to Buy And Sell Stock With Cooldown	Medium	45	35	20	2-D Dynamic Programming	https://neetcode.io/problems/buy-and-sell-crypto-with-cooldown?list=neetcode150
Coin Change II	Medium	45	35	20	2-D Dynamic Programming	https://neetcode.io/problems/coin-change-ii?list=neetcode150
Target Sum	Medium	45	35	20	2-D Dynamic Programming	https://neetcode.io/problems/target-sum?list=neetcode150
Interleaving String	Medium	45	35	20	2-D Dynamic Programming	https://neetcode.io/problems/interleaving-string?list=neetcode150
Longest Increasing Path In a Matrix	Hard	60	45	30	2-D Dynamic Programming	https://neetcode.io/problems/longest-increasing-path-in-matrix?list=neetcode150
Distinct Subsequences	Hard	60	45	30	2-D Dynamic Programming	https://neetcode.io/problems/count-subsequences?list=neetcode150
Edit Distance	Medium	60	45	30	2-D Dynamic Programming	https://neetcode.io/problems/edit-distance?list=neetcode150
Burst Balloons	Hard	60	45	30	2-D Dynamic Programming	https://neetcode.io/problems/burst-balloons?list=neetcode150
Regular Expression Matching	Hard	60	45	30	2-D Dynamic Programming	https://neetcode.io/problems/regular-expression-matching?list=neetcode150
Maximum Subarray	Medium	35	25	15	Greedy	https://neetcode.io/problems/maximum-subarray?list=neetcode150
Jump Game	Medium	35	25	18	Greedy	https://neetcode.io/problems/jump-game?list=neetcode150
Jump Game II	Medium	45	35	20	Greedy	https://neetcode.io/problems/jump-game-ii?list=neetcode150
Gas Station	Medium	45	35	20	Greedy	https://neetcode.io/problems/gas-station?list=neetcode150
Hand of Straights	Medium	45	35	20	Greedy	https://neetcode.io/problems/hand-of-straights?list=neetcode150
Merge Triplets to Form Target Triplet	Medium	45	35	20	Greedy	https://neetcode.io/problems/merge-triplets-to-form-target?list=neetcode150
